autores,ocorrencias,origem,nome_normalizado,possivel_duplicata
"Silva, Bernardo Barbosa da",2,geoinfo,silva bernardo barbosa da,False
"Rocha, Brenda Oliveira",2,geoinfo,rocha brenda oliveira,False
"Santos, Pedro Henrique",2,geoinfo,santos pedro henrique,False
"Gino, Vinķcius L. S.",2,geoinfo,gino vinkcius l s,False
"Pujatti, Mario Arthur Sclafani",2,geoinfo,pujatti mario arthur sclafani,False
"Oliveira, Maxwell Guimarńes de",2,geoinfo,oliveira maxwell guimarnes de,False
"Silva, Marcos A. S. da",2,geoinfo,silva marcos a s da,False
"Matos, Leonardo N.",2,geoinfo,matos leonardo n,False
"Cunha, Marconi Martins",2,geoinfo,cunha marconi martins,False
"Barbosa, Lígia da Silva",2,geoinfo,barbosa ligia da silva,False
"Miranda Júnior, Isaac Antunes",2,geoinfo,miranda junior isaac antunes,False
"Jorge, Aurelienne Aparecida Souza",2,geoinfo,jorge aurelienne aparecida souza,False
"Costa, Izabelly Carvalho da",2,geoinfo,costa izabelly carvalho da,False
"Tomasiello, Diego B",2,geoinfo,tomasiello diego b,False
"Silva, Telles T. da",2,geoinfo,silva telles t da,False
"Pinto, Webert S.",2,geoinfo,pinto webert s,False
"Almeida Júnior, José R.",2,geoinfo,almeida junior jose r,False
"Santos, Filipe",2,geoinfo,santos filipe,False
"Silva, Pedro A. A.",2,geoinfo,silva pedro a a,False
"Pimenta, Fernando M.",2,geoinfo,pimenta fernando m,False
"Castro, Renato V. O.",2,geoinfo,castro renato v o,False
"Ferreira, Marcela C.",2,geoinfo,ferreira marcela c,False
"Prado, Leonardo B.",2,geoinfo,prado leonardo b,False
"Teixeira, Fernando A.",2,geoinfo,teixeira fernando a,False
"Pinheiro, Daniel C",2,geoinfo,pinheiro daniel c,False
"Tomás, Livia Rodrigues",2,geoinfo,tomas livia rodrigues,False
"Rocha, Jansle V.",2,geoinfo,rocha jansle v,False
"Nicolau, Luci A.",2,geoinfo,nicolau luci a,False
"Gomes, Lorena de Moura Joia",2,geoinfo,gomes lorena de moura joia,False
"Pascoal, Luiz M. L.",2,geoinfo,pascoal luiz m l,False
"Castro, João Pedro de Carvalho",2,geoinfo,castro joao pedro de carvalho,False
"Gomes, Vitor C. F.",2,geoinfo,gomes vitor c f,False
"Dorigueto, Lucas F",2,geoinfo,dorigueto lucas f,False
"Brumatti, Carlos H T",2,geoinfo,brumatti carlos h t,False
"Ruiz, Isadora Haddad",2,geoinfo,ruiz isadora haddad,False
"Zaglia, Matheus Cavassan",2,geoinfo,zaglia matheus cavassan,False
"Oliveira, Matheus A. de",2,geoinfo,oliveira matheus a de,False
"Menezes, Marcelo de M.",2,geoinfo,menezes marcelo de m,False
"Dutra, Andeise Cerqueira",2,geoinfo,dutra andeise cerqueira,False
"Fonseca, Keiko",2,geoinfo,fonseca keiko,False
"Santos, Lorena",2,geoinfo,santos lorena,False
"Nagel, Gustavo Willy",2,geoinfo,nagel gustavo willy,False
"Coelho, Stella Correia Cesar",2,geoinfo,coelho stella correia cesar,False
"Correa, Sabrina Paes Leme Passos",2,geoinfo,correa sabrina paes leme passos,False
"Silva, Fabrício A.",2,geoinfo,silva fabricio a,False
"Monteiro, Cristiano Martins",2,geoinfo,monteiro cristiano martins,False
"Oliveira, Sávio S. T. de",2,geoinfo,oliveira savio s t de,False
"Bueno, Elivelton",2,geoinfo,bueno elivelton,False
"Rodrigues, Vagner J. S.",2,geoinfo,rodrigues vagner j s,False
"Bittencourt, Olga Oliveira",2,geoinfo,bittencourt olga oliveira,False
"Simőes, Rolf",2,geoinfo,simoes rolf,False
"Xavier, Fernando",2,geoinfo,xavier fernando,False
"Giannotti, Mariana",2,geoinfo,giannotti mariana,False
"Davis-jr, Clodoveu A",2,geoinfo,davisjr clodoveu a,False
"Gomes, Karine Reis Ferreira",2,geoinfo,gomes karine reis ferreira,False
"Camboim, Silvana Philippi",2,geoinfo,camboim silvana philippi,False
"Sperandio, Vinicius Garcia",2,geoinfo,sperandio vinicius garcia,False
"Stempliuc, Sergio Murilo",2,geoinfo,stempliuc sergio murilo,False
"Santos, Suzane G.",2,geoinfo,santos suzane g,False
"Queiroz, Gilberto R.",2,geoinfo,queiroz gilberto r,False
"Gomes, Vitor",2,geoinfo,gomes vitor,False
"Sato, Luciane Yumie",2,geoinfo,sato luciane yumie,False
"Davis-jr, Clodoveu Augusto",2,geoinfo,davisjr clodoveu augusto,False
"Neves, Alana K.",2,geoinfo,neves alana k,False
"Esperança, Claudio",2,geoinfo,esperanca claudio,False
"Llapa, Eduardo",2,geoinfo,llapa eduardo,False
"Siqueira-gay, Juliana",2,geoinfo,siqueiragay juliana,False
"Giannotti, Mariana Abrantes",2,geoinfo,giannotti mariana abrantes,False
"Ferrero, Carlos Andres",2,geoinfo,ferrero carlos andres,False
"Costa, Sérgio Souza",2,geoinfo,costa sergio souza,False
"Jerônimo, Caio Libânio Melo",2,geoinfo,jeronimo caio libanio melo,False
"Franklin, W. Randolph",2,geoinfo,franklin w randolph,False
"Li, Wenli",2,geoinfo,li wenli,False
"Gruppi, Maurício G",2,geoinfo,gruppi mauricio g,False
"Horita, Flávio E. A.",2,geoinfo,horita flavio e a,False
"Veronez, Maurício Roberto",2,geoinfo,veronez mauricio roberto,False
