id_geoinfo,ordem,autor_original,autor_padronizado,instituicao_original,instituicao_padronizada
83LX3pFwXQZ3V9uMbiY/NiawB,1,"Meyer, Wladimir S.",Wladimir S. Meyer,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/NiawB,2,"Ramirez, Milton R.",Milton R. Ramirez,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/NiawB,3,"Souza, Jano Moreira de",Jano Moreira de Souza,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/Nibh9,1,"Rodrigues, Vinícius Lopes",Vinícius Lopes Rodrigues,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/Nibh9,2,"Andrade, Marcus Vinícius Alvim",Marcus Vinícius Alvim Andrade,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/Nibh9,3,"Queiroz, Gilberto Ribeiro de",Gilberto Ribeiro de Queiroz,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/Nibh9,4,"Magalhăes, Mirella Antunes de",Mirella Antunes de Magalhăes,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/Niabg,1,"Schwarz, Thomas",Thomas Schwarz,Universität Stuttgart,Universität Stuttgart
83LX3pFwXQZ3V9uMbiY/Niabg,2,"Grossmann, Matthias",Matthias Grossmann,Universität Stuttgart,Universität Stuttgart
83LX3pFwXQZ3V9uMbiY/Niabg,3,"Nicklas, Daniela",Daniela Nicklas,Universität Stuttgart,Universität Stuttgart
83LX3pFwXQZ3V9uMbiY/Niabg,4,"Mitschang, Bernhard",Bernhard Mitschang,Universität Stuttgart,Universität Stuttgart
83LX3pFwXQZ3V9uMbiY/Nia6G,1,"Silva, Adler C. G. da",Adler C. G. da Silva,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas (UNICAMP)
83LX3pFwXQZ3V9uMbiY/Nia6G,2,"Wu, Shin-Ting",Shin-Ting Wu,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas (UNICAMP)
83LX3pFwXQZ3V9uMbiY/NiaHU,1,"Viegas, Renata",Renata Viegas,Universidade Federal do Rio Grande do Norte (UFRN),Universidade Federal do Rio Grande do Norte (UFRN)
83LX3pFwXQZ3V9uMbiY/NiaHU,2,"Soares, Valéria",Valéria Soares,Universidade Federal da Paraíba (UFPB),Universidade Federal da Paraíba (UFPB)
83LX3pFwXQZ3V9uMbiY/LHUjj,1,"Almeida, Damiăo R.",Damiăo R. Almeida,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,2,Cláudio S. Baptista,Cláudio S. Baptista,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,3,"Silva, Elvis R. da",Elvis R. da Silva,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,4,"Campelo, Cláudio E. C.",Cláudio E. C. Campelo,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,5,"Nunes, Camilo P.",Camilo P. Nunes,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,6,"Costa, Bruno A. D. da",Bruno A. D. da Costa,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
