instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
Biosystems Engineering Department – University of Sao Paulo,1,geoinfo,biosystems engineering department university of sao paulo,False
Facid Wyden University Center,1,geoinfo,facid wyden university center,False
Instituto Federal Sul-Rio-Grandense (IFSUL),1,geoinfo,instituto federal sulriograndense ifsul,False
Universite libre de Bruxelles (ULB),1,geoinfo,universite libre de bruxelles ulb,False
Aeronautics Institute of Technology (ITA),1,geoinfo,aeronautics institute of technology ita,False
Harvard Medical School,1,geoinfo,harvard medical school,False
AG Software Design & Management,1,geoinfo,ag software design management,False
Universidade Federal do Cearß (UFC),1,geoinfo,universidade federal do cearß ufc,False
Escola Politécnica da Universidade de São Paulo,1,geoinfo,escola politecnica da universidade de sao paulo,False
Active Knowledge GmbH,1,geoinfo,active knowledge gmbh,False
Universidade Federal de Pelotas (UFPEL),1,geoinfo,universidade federal de pelotas ufpel,False
Universidade Católica do Salvador (UCSAL),1,geoinfo,universidade catolica do salvador ucsal,False
School of Information Sciences and Technology,1,geoinfo,school of information sciences and technology,False
Marinha do Brasil,1,geoinfo,marinha do brasil,False
Pontifícia Universidade Catˇlica do Rio de Janeiro (PUC-Rio),1,geoinfo,pontificia universidade catˇlica do rio de janeiro pucrio,False
Universidade Católica de Brasília (UCB),1,geoinfo,universidade catolica de brasilia ucb,False
Universidade Estadual do Maranhão (UEMA),1,geoinfo,universidade estadual do maranhao uema,False
ESPOL Polytechnic University - Guayaquil,1,geoinfo,espol polytechnic university guayaquil,False
Universidade Estadual de Roraima (UERR),1,geoinfo,universidade estadual de roraima uerr,False
Empresa Brasileira de Pesquisa Agropecuária (Embrapa Roraima),1,geoinfo,empresa brasileira de pesquisa agropecuaria embrapa roraima,False
Heidelberg Institute for Geoinformation Technology,1,geoinfo,heidelberg institute for geoinformation technology,False
Nigerian Defence Academy,1,geoinfo,nigerian defence academy,False
Kaduna Polytechnic,1,geoinfo,kaduna polytechnic,False
Instituto Federal da Paraíba (IFPB),1,geoinfo,instituto federal da paraiba ifpb,False
Universidade Federal do Pernambuco (UFPE),1,geoinfo,universidade federal do pernambuco ufpe,False
GeoMeridium,1,geoinfo,geomeridium,False
Instituto de Pesquisas Tecnológicas (IPT),1,geoinfo,instituto de pesquisas tecnologicas ipt,False
Embrapa Tabuleiros Costeiros,1,geoinfo,embrapa tabuleiros costeiros,False
UCLouvain,1,geoinfo,uclouvain,False
Stockholm Environment Institute,1,geoinfo,stockholm environment institute,False
Instituto Federal de Mato Grosso (IFMT),1,geoinfo,instituto federal de mato grosso ifmt,False
Instituto de Tecnologias Geo-Sociais AddressForAll,1,geoinfo,instituto de tecnologias geosociais addressforall,False
Universidade Federal de Sao Joao del-Rei (UFJR),1,geoinfo,universidade federal de sao joao delrei ufjr,False
Department of Research and development– IDGeo – Agricultural intelligence,1,geoinfo,department of research and development idgeo agricultural intelligence,False
Instituto Federal de Ciencia de Tecnologia da Paraķba (IFPB),1,geoinfo,instituto federal de ciencia de tecnologia da parakba ifpb,False
Universidade Federal Rural da Amazônia (UFRA),1,geoinfo,universidade federal rural da amazonia ufra,False
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),1,geoinfo,deutsche gesellschaft fur internationale zusammenarbeit giz,False
Empresa Brasileira de Pesquisa Agrecuária (EMBRAPA),1,geoinfo,empresa brasileira de pesquisa agrecuaria embrapa,False
Embraer,1,geoinfo,embraer,False
Centro de Estudos da Metrópole,1,geoinfo,centro de estudos da metropole,False
OpenGeoHub,1,geoinfo,opengeohub,False
Universidade Federal da Bahia (UFBA),1,geoinfo,universidade federal da bahia ufba,False
SOLPE - Oil Reservoir Solutions,1,geoinfo,solpe oil reservoir solutions,False
Instituto de Estudos Avanńados (IEAv),1,geoinfo,instituto de estudos avannados ieav,False
Institut de Recherche pour le Dķveloppement (IRD),1,geoinfo,institut de recherche pour le dkveloppement ird,False
Universidade Federal de Juiz de Fora (UFJF),1,geoinfo,universidade federal de juiz de fora ufjf,False
East China Normal University,1,geoinfo,east china normal university,False
Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF),1,geoinfo,universidade estadual do norte fluminense darcy ribeiro uenf,False
Universidad del Rosario - Bogotá,1,geoinfo,universidad del rosario bogota,False
Tetra Tech Brasil,1,geoinfo,tetra tech brasil,False
Universitat Politecnica de Valencia,1,geoinfo,universitat politecnica de valencia,False
Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici (CMCC),1,geoinfo,fondazione centro euromediterraneo sui cambiamenti climatici cmcc,False
Universidade de Coimbra,1,geoinfo,universidade de coimbra,False
Politecnico di Milano,1,geoinfo,politecnico di milano,False
Universidade Tecnologia Federal do Paraná (UTFPR),1,geoinfo,universidade tecnologia federal do parana utfpr,False
University of Antioquia,1,geoinfo,university of antioquia,False
University of Warwick,1,geoinfo,university of warwick,False
University of Thessaly,1,geoinfo,university of thessaly,False
University of Almeria,1,geoinfo,university of almeria,False
Universidade Federal de São Paulo,1,geoinfo,universidade federal de sao paulo,False
Instituto Nacional do Semiárido (INSA),1,geoinfo,instituto nacional do semiarido insa,False
Universidade Federal do Paranß (UFPR),1,geoinfo,universidade federal do paranß ufpr,False
Universidade do Estado do Pará (UEA),1,geoinfo,universidade do estado do para uea,False
CENSIPAM,1,geoinfo,censipam,False
Universidade Estadual de Ponta Grossa (UEPG),1,geoinfo,universidade estadual de ponta grossa uepg,False
UFPB,1,geoinfo,ufpb,False
Emory University,1,geoinfo,emory university,False
Arquivo do Estado de Sao Paulo,1,geoinfo,arquivo do estado de sao paulo,False
Via Vale Sistemas,1,geoinfo,via vale sistemas,False
Faculdade Anhanguera,1,geoinfo,faculdade anhanguera,False
Centro Nacional de Monitoramento e Alerta de Desastre Naturais (CEMADEN),1,geoinfo,centro nacional de monitoramento e alerta de desastre naturais cemaden,False
Universidade do Estado da Bahia (UNEB),1,geoinfo,universidade do estado da bahia uneb,False
Universidade Federal da ParaĒba (UFPB),1,geoinfo,universidade federal da paraeba ufpb,False
Centro Federal de Educação e Tecnologia (CEFET-MG),1,geoinfo,centro federal de educacao e tecnologia cefetmg,False
Université Grenoble Alpes,1,geoinfo,universite grenoble alpes,False
Framework Digital,1,geoinfo,framework digital,False
Universidade Virtual de São Paulo (UNIVESP),1,geoinfo,universidade virtual de sao paulo univesp,False
Universidad Austral de Chile,1,geoinfo,universidad austral de chile,False
Instituto Nacional de Pesquisa da Amaz¶nia (INPA),1,geoinfo,instituto nacional de pesquisa da amaznia inpa,False
NASA Jet Propulsion Laboratory (JPL),1,geoinfo,nasa jet propulsion laboratory jpl,False
FATEC Cruzeiro,1,geoinfo,fatec cruzeiro,False
University of South Alabama,1,geoinfo,university of south alabama,False
McMaster University,1,geoinfo,mcmaster university,False
ESPOL Polytechnic University,1,geoinfo,espol polytechnic university,False
Espectro LTDA,1,geoinfo,espectro ltda,False
Universidade Federal de Santa Maria (UFSM),1,geoinfo,universidade federal de santa maria ufsm,False
Instituto Federal do Norte de Minas Gerais (IFNMG),1,geoinfo,instituto federal do norte de minas gerais ifnmg,False
Centro Universitário do Distrito Federal (UDF),1,geoinfo,centro universitario do distrito federal udf,False
Universidade Federal de Santa Catarian (UFSC),1,geoinfo,universidade federal de santa catarian ufsc,False
CENPES/PDGP/CMR - Petrobras,1,geoinfo,cenpespdgpcmr petrobras,False
Geologística,1,geoinfo,geologistica,False
World Bank Group,1,geoinfo,world bank group,False
Rensselaer Polytechnic Institute (RPI),1,geoinfo,rensselaer polytechnic institute rpi,False
Universidade Estadual da Bahia (UNEB),1,geoinfo,universidade estadual da bahia uneb,False
niversidade Federal do ABC (CECS/UFABC),1,geoinfo,niversidade federal do abc cecsufabc,False
Universidade Federal de Minas Gerais (CEDEPLAR/UFMG),1,geoinfo,universidade federal de minas gerais cedeplarufmg,False
nstituto Nacional de Pesquisas Espaciais (INPE),1,geoinfo,nstituto nacional de pesquisas espaciais inpe,False
"Fundação de Cięncias, Aplicaçőes e Tecnologias Espaciais (FUNCATE)",1,geoinfo,fundacao de ciencias aplicacoes e tecnologias espaciais funcate,False
"Divisão de Processamento de Imagens (DPI), Instituto Nacional de Pesquisas Espaciais (INPE)",1,geoinfo,divisao de processamento de imagens dpi instituto nacional de pesquisas espaciais inpe,False
Centro Federal de Educação Tecnológica de MG (CEFET-MG),1,geoinfo,centro federal de educacao tecnologica de mg cefetmg,False
Instituto Politécnico Nacional,1,geoinfo,instituto politecnico nacional,False
University of Piraeus (UPRC),1,geoinfo,university of piraeus uprc,False
Big Data Research Lab,1,geoinfo,big data research lab,False
CIRAD,1,geoinfo,cirad,False
"CIRAD, UPR AGIRs ""Animal et Gestion Intégrée des Risques""",1,geoinfo,cirad upr agirs animal et gestion integree des risques,False
Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG),1,geoinfo,centro federal de educacao tecnologica de minas gerais cefetmg,False
IBM Research,1,geoinfo,ibm research,False
Universidade Federal de Goißs (UFG),1,geoinfo,universidade federal de goißs ufg,False
